stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
8552288,3471,"West Franklin Street at Kenan Street Eastbound","",35.911293,-79.060262,,,0,,,0,,
8552289,3257,"East Franklin Street at Planetarium Eastbound","",35.914937,-79.050924,,,0,,,0,,
8552290,3254,"East Franklin Street at Raleigh Street","",35.91583,-79.048607,,,0,,,0,,
8552291,3255,"East Franklin Street at South Boundary Street Eastbound","",35.916816,-79.045974,,,0,,,0,,
8552292,3250,"East Franklin Street at Park Place","",35.916737,-79.043784,,,0,,,0,,
8552293,3269,"East Franklin Street at Glendale Drive","",35.918358,-79.039708,,,0,,,0,,
8552294,3268,"East Franklin Street at Howell Lane Eastbound","",35.922433,-79.038616,,,0,,,0,,
8552295,3264,"East Franklin Street at Plant Road","",35.926825,-79.035781,,,0,,,0,,
8552296,3260,"East Franklin Street at Estes Drive Eastbound","",35.929902,-79.033851,,,0,,,0,,
8552302,3372,"Estes Drive at Community Center Drive","",35.92787,-79.03229,,,0,,,0,,
8552303,3377,"Willow Drive at University Place","",35.930051,-79.027389,,,0,,,0,,
8552304,3068,"Ephesus Church Road at Legion Road Eastbound","",35.935145,-79.022163,,,0,,,0,,
8552305,3062,"Ephesus Church Road at Frances Street","",35.932665,-79.018485,,,0,,,0,,
8552306,3061,"Ephesus Church Road at Churchill Drive","",35.932392,-79.015002,,,0,,,0,,
8552307,3475,"Ephesus Church Road at Tinkerbell Road Eastbound","",35.932546,-79.011835,,,0,,,0,,
8552308,3016,"Colony Woods Drive at White Plains Road","",35.931391,-79.001953,,,0,,,0,,
8552309,3015,"Fountain Ridge Road at Colony Woods Drive","",35.936483,-79.00234,,,0,,,0,,
8552328,3137,"Old Fayetteville Road at Autumn Woods North","",35.907297,-79.092157,,,0,,,0,,
8552329,3534,"North Greensboro Street at Sue Ann Court","",35.918839,-79.077207,,,0,,,0,,
8552330,3542,"North Greensboro Street at Fitch Lumber","",35.912174,-79.072356,,,0,,,0,,
8552331,3266,"East Franklin Street at Elizabeth Street Eastbound","",35.924493,-79.03797,,,0,,,0,,
8552332,3066,"Ephesus Church Road at Blue Hill Apartments","",35.934186,-79.021002,,,0,,,0,,
8552333,3460,"Ephesus Church Road at Landerwood Lane","",35.9327,-79.008203,,,0,,,0,,
8552334,3012,"Ephesus Church Road at Sharon Road","",35.932078,-79.005543,,,0,,,0,,
8553484,3252,"Raleigh Street at Spencer Hall","",35.914687,-79.048764,,,0,,,0,,
8553485,3029,"Raleigh Street at Mangum Hall","",35.912363,-79.047502,,,0,,,0,,
8553486,3216,"Stadium Drive at Stadium Gate #2","",35.908149,-79.046983,,,0,,,0,,
8553487,3163,"Stadium Drive at Ridge Road","",35.90651,-79.044512,,,0,,,0,,
8553488,3628,"Ridge Road at Ram's Head Center","",35.905313,-79.045437,,,0,,,0,,
8553489,3590,"Manning Drive at Hinton James","",35.90337,-79.04388,,,0,,,0,,
8553490,3230,"Bowles Drive at S11 Lot Driveway NB","",35.900583,-79.040656,,,0,,,0,,
8553491,3464,"Bowles Drive at Smith Center Stadium","",35.900431,-79.043163,,,0,,,0,,
8553492,3227,"Bowles Drive at Hinton James Tennis Courts","",35.901292,-79.043929,,,0,,,0,,
8553493,3234,"Manning Drive at Public Safety","",35.90363,-79.046813,,,0,,,0,,
8553494,3235,"Manning Drive at Hibbard Drive (WB)","",35.90311,-79.04864,,,0,,,0,,
